报告状态,IMO编号,初次登记号,中文船名,英文/拼音船名,载货性质,载货数量,航行方式,始发港,目的港,预计通过时间,拟过通航孔,船宽,船长,吃水,载重吨,水面以上最大高度
已确认,--,70504000029,港通2,GANG TONG 2,集装箱,205,自航,上海,宁波,2016-11-1 22:22,二号通航孔,13.2,79.62,3.4,2640,21
已确认,----,140703097,奥海,AO HAI,船体分段,478,自航,芦潮港,外高桥船厂,2016-11-3 17:30,二号通航孔,16,96.9,3.3,2000,12
已确认,--,1999M2302868,宏江3,HONGJIANG3,杂货船,0,自航,长兴岛,临港中船三井,2016-11-3 23:00,二号通航孔,13,68.8,4.4,2500,19
已确认,--,1999M2302868,宏江3,HONGJIANG3,杂货船,25,自航,临港中船三井,泰州,2016-11-5 5:00,二号通航孔,13,68.8,4.4,2500,19
已确认,--,2015R2100087,新宏江,XIN HONG JIANG,杂货船,5,自航,临港中船三井,长兴岛,2016-11-5 5:00,二号通航孔,14.5,77.8,3.4,3700,17
已确认,--,70504000029,港通2,GANG TONG 2,集装箱,0,自航,宁波,上海,2016-11-5 19:22,二号通航孔,13.2,79.62,3.4,2640,21
已确认,--,70504000029,港通2,GANG TONG 2,集装箱,216,自航,上海,宁波,2016-11-7 5:22,二号通航孔,13.2,79.62,3.4,2640,21
已确认,－－,70309000484,海吉5,HAI JI 5,船体分段,500,自航,芦潮港,外高桥,2016-11-7 6:00,二号通航孔,18.2,96.8,3.6,2843,19
已确认,－－,70309000484,海吉5,HAI JI 5,空载,0,自航,外高桥,芦潮港,2016-11-8 11:00,二号通航孔,18.2,96.8,3.6,2843,19
已确认,--,1999M2302868,宏江3,HONGJIANG3,杂货船,0,自航,泰州,临港中船三井,2016-11-9 0:00,二号通航孔,13,68.8,4.4,2500,19
已确认,－－,70309000484,海吉5,HAI JI 5,空载,0,自航,外高桥,芦潮港,2016-11-9 14:00,二号通航孔,18.2,96.8,3.6,2843,19
已确认,--,2015R2100087,新宏江,XIN HONG JIANG,杂货船,14,自航,沪东重机,临港中船三井,2016-11-10 6:00,二号通航孔,14.5,77.8,3.4,3700,17
